,CITY,STATE,YEAR,MONTH,DAY_OF_MONTH,TempAvg,DewAvg,HumAvg,SeaLevelAvg,VisibilityAvg,WindAvg,Precip_Inches
0,Atlanta,GA,2016,Jan,1,43,32,66,30.22,10,10,0
1,Atlanta,GA,2016,Jan,2,41,26,54,30.24,10,6,0
2,Atlanta,GA,2016,Jan,3,43,26,54,30.08,10,5,0
3,Atlanta,GA,2016,Jan,4,37,22,55,30.17,10,9,0
4,Atlanta,GA,2016,Jan,5,35,13,49,30.48,10,5,0
5,Atlanta,GA,2016,Jan,6,37,14,40,30.4,10,6,0
6,Atlanta,GA,2016,Jan,7,51,35,53,30.13,10,8,0
7,Atlanta,GA,2016,Jan,8,52,47,77,30,8,6,0.25
8,Atlanta,GA,2016,Jan,9,51,46,85,29.88,9,6,0.24
9,Atlanta,GA,2016,Jan,10,33,34,77,29.92,10,10,0.02
10,Atlanta,GA,2016,Jan,11,34,14,44,30.22,10,4,0
11,Atlanta,GA,2016,Jan,12,40,22,55,30.15,10,6,0
12,Atlanta,GA,2016,Jan,13,40,19,52,30.21,10,4,0
13,Atlanta,GA,2016,Jan,14,43,28,59,30.12,10,2,0
14,Atlanta,GA,2016,Jan,15,42,41,79,29.7,7,6,1.88
15,Atlanta,GA,2016,Jan,16,50,43,69,29.78,6,5,0
16,Atlanta,GA,2016,Jan,17,41,28,61,29.95,10,9,T
17,Atlanta,GA,2016,Jan,18,22,11,63,30.25,10,9,0
18,Atlanta,GA,2016,Jan,19,29,7,41,30.42,10,6,0
19,Atlanta,GA,2016,Jan,20,37,25,60,30.26,9,3,0.13
20,Atlanta,GA,2016,Jan,21,44,39,83,30.13,6,4,0.58
21,Atlanta,GA,2016,Jan,22,39,35,88,29.71,6,10,1.47
22,Atlanta,GA,2016,Jan,23,31,20,71,29.93,8,17,T
23,Atlanta,GA,2016,Jan,24,39,19,50,30.16,10,3,0
24,Atlanta,GA,2016,Jan,25,35,25,62,30.23,10,2,0
25,Atlanta,GA,2016,Jan,26,46,41,73,30.16,7,1,0.19
26,Atlanta,GA,2016,Jan,27,44,41,83,30.1,6,5,0.06
27,Atlanta,GA,2016,Jan,28,45,31,61,29.96,10,3,0
28,Atlanta,GA,2016,Jan,29,45,27,64,29.97,10,6,0
29,Atlanta,GA,2016,Jan,30,48,32,61,30.09,10,3,0
30,Atlanta,GA,2016,Jan,31,52,45,71,30.04,10,4,0
31,Atlanta,GA,2016,Feb,1,60,53,81,29.98,7,5,T
32,Atlanta,GA,2016,Feb,2,63,54,75,30.01,5,7,T
33,Atlanta,GA,2016,Feb,3,60,56,77,29.91,8,7,1.94
34,Atlanta,GA,2016,Feb,4,46,28,58,30.11,10,12,0
35,Atlanta,GA,2016,Feb,5,40,15,39,30.36,10,8,0
36,Atlanta,GA,2016,Feb,6,38,21,55,30.32,10,2,0
37,Atlanta,GA,2016,Feb,7,42,21,50,30.1,10,4,0
38,Atlanta,GA,2016,Feb,8,44,23,49,29.84,10,10,0
39,Atlanta,GA,2016,Feb,9,33,19,54,29.9,9,12,T
40,Atlanta,GA,2016,Feb,10,31,10,45,30.13,10,11,T
41,Atlanta,GA,2016,Feb,11,41,18,48,30.18,10,2,0
42,Atlanta,GA,2016,Feb,12,47,28,56,30.13,10,6,0
43,Atlanta,GA,2016,Feb,13,35,11,41,30.34,10,10,0
44,Atlanta,GA,2016,Feb,14,37,12,37,30.31,10,7,0
45,Atlanta,GA,2016,Feb,15,43,29,66,29.93,8,9,0.81
46,Atlanta,GA,2016,Feb,16,51,39,65,29.82,10,7,0.05
47,Atlanta,GA,2016,Feb,17,45,34,64,30.16,10,9,0
48,Atlanta,GA,2016,Feb,18,46,30,61,30.4,9,2,0
49,Atlanta,GA,2016,Feb,19,50,32,58,30.36,10,7,0
50,Atlanta,GA,2016,Feb,20,53,48,81,30.22,9,3,T
51,Atlanta,GA,2016,Feb,21,59,54,85,30.08,8,5,0.03
52,Atlanta,GA,2016,Feb,22,49,57,89,29.95,8,3,0.63
53,Atlanta,GA,2016,Feb,23,55,55,90,29.83,6,7,1.23
54,Atlanta,GA,2016,Feb,24,53,49,75,29.55,9,14,0.6
55,Atlanta,GA,2016,Feb,25,46,28,57,30.01,10,13,0
56,Atlanta,GA,2016,Feb,26,45,24,46,30.23,10,9,0
57,Atlanta,GA,2016,Feb,27,46,27,55,30.24,10,3,0
58,Atlanta,GA,2016,Feb,28,50,30,57,30.16,10,4,0
59,Atlanta,GA,2016,Feb,29,59,41,56,30.07,10,6,0
60,Atlanta,GA,2016,Mar,1,58,49,70,29.95,9,8,0.38
61,Atlanta,GA,2016,Mar,2,46,32,59,30.09,10,9,0
62,Atlanta,GA,2016,Mar,3,41,33,69,30.05,7,6,0.84
63,Atlanta,GA,2016,Mar,4,46,36,71,30.08,9,7,0
64,Atlanta,GA,2016,Mar,5,47,32,61,30.15,9,2,0
65,Atlanta,GA,2016,Mar,6,54,31,45,30.22,10,4,0
66,Atlanta,GA,2016,Mar,7,53,38,61,30.26,10,4,0
67,Atlanta,GA,2016,Mar,8,58,46,67,30.22,10,3,0
68,Atlanta,GA,2016,Mar,9,62,50,64,30.17,10,7,0
69,Atlanta,GA,2016,Mar,10,68,55,63,30.15,10,9,0.02
70,Atlanta,GA,2016,Mar,11,69,59,71,30.15,10,4,T
71,Atlanta,GA,2016,Mar,12,69,57,69,30.07,10,5,0
72,Atlanta,GA,2016,Mar,13,68,56,60,29.87,10,8,0.02
73,Atlanta,GA,2016,Mar,14,64,54,70,29.83,10,6,0
74,Atlanta,GA,2016,Mar,15,68,49,56,29.86,10,5,0
75,Atlanta,GA,2016,Mar,16,67,45,50,29.91,10,7,0
76,Atlanta,GA,2016,Mar,17,61,35,51,29.95,10,3,0
77,Atlanta,GA,2016,Mar,18,63,38,47,29.92,10,3,0
78,Atlanta,GA,2016,Mar,19,62,50,66,29.87,10,8,0
79,Atlanta,GA,2016,Mar,20,48,29,47,30,10,13,0
